UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad de Barcelona","Instituto de Seguridad Pública de Catalunya",Grado en Seguridad,Pública / Adscrito,70,"7,446","8,5",88 %,240, 
"Universidad de Salamanca",Facultad de Psicología,"Grado en Terapia Ocupacional",Pública / Propio,50,"7,445","8,23",95 %,240,"19,37 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada","Grado en Ciencia Política y Gestión Pública",Pública / Propio,15,"7,442",n/d,70 %,240,"21,39 €" 
"Universitat Politècnica de València","Facultad de Bellas Artes San Carlos","Grado en Conservación y Restauración de Bienes Culturales",Pública / Propio,110,"7,44","8,92",92 %,240,"16,41 €" 
"Universidad de La Laguna","Facultad de Economía, Empresa y Turismo","Grado en Administración y Dirección de Empresas",Pública / Propio,175,"7,439","9,17",67 %,240,"10,16 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación","Grado en Ingeniería de Sonido e Imagen",Pública / Propio,85,"7,432","9,29",62 %,240,"24,55 €" 
"Universidad de Castilla- La Mancha",Facultad de Farmacia,Grado en Farmacia,Pública / Propio,120,"7,432","10,03",82 %,300,"18,87 €" 
Universidad de Alcalá,Facultad de Educación,"Grado en Magisterio de Educación Infantil",Pública / Propio,120,"7,43","8,55",94 %,240,"21,39 €" 
"Universidad de Cantabria",Facultad de Educación,"Grado en Magisterio en Educación Primaria",Pública / Propio,195,"7,43","9,6",88 %,240,"11,14 €" 
Universidad de Alicante,"Facultad de Ciencias Económicas y Empresariales","Grado en Trabajo Social",Pública / Propio,160,"7,43","8,35",88 %,240,"13,86 €" 
Universidad de Cádiz,"Facultad de Ciencias de la Educación","Grado en Educación Infantil",Pública / Propio,210,"7,42","8,72",94 %,240,"12,62 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Aranjuez","Grado en Traducción e Interpretación",Pública / Propio,75,"7,41","8,45",89 %,240,"21,39 €" 
"Universidad de Granada","Facultad de Filosofía y Letras","Grado en Estudios Ingleses",Pública / Propio,150,"7,409","10,17",70 %,240,"12,62 €" 
"Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud",Grado en Podología,Pública / Propio,80,"7,406","8,99",85 %,240,"35,77 €" 
Universidad de Málaga,"Escuela Técnica Superior de Ingeniería Informática","Grado en Ingeniería de Computadores",Pública / Propio,55,"7,405","8,38",32 %,240,"12,62 €" 
"Universidad de La Laguna",Facultad de Ciencias,"Grado en Ciencias Ambientales",Pública / Propio,50,"7,4","9,15",71 %,240,"14,59 €" 
"Universidad de Salamanca",Facultad de Medicina,Grado en Odontología,Pública / Propio,30,"7,4","11,39",85 %,300,"19,37 €" 
"Universidad de Extremadura","Facultad de Filosofía y Letras","Grado en Lenguas y Literaturas Modernas- Portugués",Pública / Propio,40,"7,389","7,85",71 %,240,"10,31 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Fuenlabrada","Grado en Ingeniería en Sistemas de Telecomunicación",Pública / Propio,20,"7,389","7,58",53 %,240,"24,55 €" 
"Universidad de A Coruña",Facultad de Informática,"Grado en Ciencia e Ingeniería de Datos",Pública / Propio,50,"7,386","9,43",,240,"13,93 €" 
"Universidad Autónoma de Barcelona","Facultad de Economía y Empresa","Grado en Empresa y Tecnología",Pública / Propio,80,"7,384","8,88",83 %,240,"25,27 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Escuela de Ingeniería de Bilbao","Grado en Ingeniería en Tecnología Industrial",Pública / Propio,260,"7,38","10,64",69 %,240,"19,19 €" 
"Universidad de La Laguna","Escuela Superior de Ingeniería y Tecnología","Grado en Ingeniería Informática",Pública / Propio,155,"7,371","9,19",63 %,240,"14,59 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Economía y Empresa","Grado en Administración y Dirección de Empresas",Pública / Propio,655,"7,37","9,36",67 %,240,"14,39 €" 
Universidad de Málaga,"Facultad de Estudios Sociales y del Trabajo","Grado en Trabajo Social",Pública / Propio,130,"7,361","8,65",87 %,240,"12,62 €" 
"Universidad de Granada","Facultad de Filosofía y Letras","Grado en Filología Hispánica",Pública / Propio,77,"7,36","10,28",82 %,240,"12,62 €" 
"Universidad de La Laguna",Facultad de Educación,"Grado en Maestro en Educación Infantil",Pública / Propio,195,"7,354","9,03",88 %,240,"10,16 €" 
"Universidad de Barcelona","Facultad de Economía y Empresa",Grado en Economía,Pública / Propio,300,"7,344","9,02",67 %,240,"25,27 €" 
"Universidad Rovira i Virgili",Facultad de Química,"Grado en Bioquímica y Biología Molecular",Pública / Propio,40,"7,344","11,62",94 %,240,"35,77 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Móstoles",Grado en Derecho,Pública / Propio,70,"7,338","8,44",74 %,240,"21,39 €" 
Universidad de Cádiz,"Escuela Superior de Ingeniería","Grado en Ingeniería Informática",Pública / Propio,120,"7,337","9,25",57 %,240,"12,62 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Ingeniería de Sonido e Imagen/ Bachelor's Degree in Sound and Image Engineering",Pública / Propio,60,"7,336","9,09",64 %,240,"24,55 €" 
Universidad de Huelva,"Facultad de Educación, Psicología y Ciencias del Deporte","Grado en Educación Infantil",Pública / Propio,120,"7,33","8,75",94 %,240,"12,62 €" 
Universidad de Sevilla,Facultad de Filología,"Grado en Estudios Ingleses",Pública / Propio,150,"7,33","9,86",69 %,240,"12,62 €" 
"Universidad Jaume I de Castellón","Escuela Superior de Tecnología y Ciencias Experimentales","Grado en Ingeniería Informática",Pública / Propio,90,"7,33","8,21",75 %,240,"20,27 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería de Sistemas Informáticos","Grado en Tecnologías para la Sociedad de la Información",Pública / Propio,20,"7,326","7,72",35 %,240,"24,55 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencias Sociales y de la Comunicación",Grado en Periodismo,Pública / Propio,210,"7,31","9,4",80 %,240,"14,08 €" 
"Universidad Complutense de Madrid",Facultad de Derecho,"Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,120,"7,31","8,39",76 %,240,"21,39 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada","Grado en Administración y Dirección de Empresas",Pública / Propio,150,"7,31","8,36",70 %,240,"21,39 €" 
Universidad de Cádiz,"Facultad de Ciencias del Trabajo. Sede de Jerez","Grado en Trabajo Social",Pública / Propio,100,"7,31","8,41",92 %,240,"12,62 €" 
"Universidad Autónoma de Madrid","Facultad de Ciencias Económicas y Empresariales",Grado en Turismo,Pública / Propio,100,"7,308","8,49",80 %,240,"21,39 €" 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Traducción e Interpretación",Pública / Propio,90,"7,3","10,86",94 %,240,"21,39 €" 
"Universidad de Barcelona","Facultad de Filología y Comunicación","Grado en Estudios Literarios",Pública / Propio,100,"7,3","10,2",85 %,240,"25,27 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Móstoles","Grado en Educación Primaria",Pública / Propio,75,"7,29","7,98",90 %,240,"21,39 €" 
"Universidad Autónoma de Barcelona","Facultad de Economía y Empresa",Grado en Economía,Pública / Propio,190,"7,282","9,1",74 %,240,"25,27 €" 
"Universidad de Granada","Facultad de Ciencias de la Educación","Grado en Educación Infantil",Pública / Propio,330,"7,281","9,16",91 %,240,"12,62 €" 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras",Grado en Filosofía,Pública / Propio,60,"7,277","9,25",84 %,240,"21,39 €" 
"Universidad Politécnica de Catalunya","Escuela Politécnica Superior de Ingenieria de Vilanova i la Geltrú","Grado en Ingeniería Informática",Pública / Propio,50,"7,272","8,32",78 %,240,"39,53 €" 
Universidad de Sevilla,"Facultad de Ciencias de la Educación",Grado en Pedagogía,Pública / Propio,160,"7,27","8,34",91 %,240,"12,62 €" 
"Universitat Politècnica de València","Escuela Politécnica Superior de Gandía","Grado en Tecnologías Interactivas",Pública / Propio,50,"7,27","8,41",81 %,240,"20,27 €" 
"Universidad Rovira i Virgili","Facultad de Ciencias de la Educación y Psicología",Grado en Pedagogía,Pública / Propio,40,"7,265","8,53",95 %,240,"25,27 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencias Sociales y de la Comunicación","Grado en Ciencia Política y Gestión Pública",Pública / Propio,80,"7,26","9,89",75 %,240,"14,08 €" 
"Universidad Pompeu Fabra","Escuela Superior de Ciencias de la Salud Tecnocampus","Grado en Ciencias de la Actividad Física y del Deporte",Pública / Adscrito,60,"7,258","8,24",89 %,240, 
"Universidad de A Coruña",Facultad de Filología,"Grado en Gallego y Portugués: Estudios Lingüísticos y Literarios",Pública / Propio,40,"7,246",n/d,60 %,240,"9,85 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Educación Infantil",Pública / Propio,130,"7,236","7,91",90 %,240,"21,39 €" 
Universidad de Vigo,"Escuela Superior de Ingeniería Informática","Grado en Ingeniería Informática",Pública / Propio,110,"7,23","9,14",66 %,240,"13,93 €" 
"Universitat de València (Estudi General)",Facultad de Farmacia,"Grado en Ciencias Gastronómicas",Pública / Propio,50,"7,23","8,29",76 %,240,"20,27 €" 
"Universidad de Granada","Facultad de Ciencias de la Educación","Grado en Educación Primaria",Pública / Propio,577,"7,226","9,54",88 %,240,"12,62 €" 
"Universidad Complutense de Madrid","Facultad de Comercio y Turismo",Grado en Comercio,Pública / Propio,240,"7,226","8,49",68 %,240,"21,39 €" 
"Universitat de València (Estudi General)","Facultad de Filosofía y Ciencias de la Educación",Grado en Filosofía,Pública / Propio,120,"7,22","9,62",75 %,240,"13,86 €" 
"Universidad Jaume I de Castellón","Facultad de Ciencias Jurídicas y Económicas",Grado en Derecho,Pública / Propio,155,"7,22","8,78",64 %,240,"13,86 €" 
"Universidad de Granada",Facultad de Psicología,Grado en Logopedia,Pública / Propio,70,"7,22","8,01",91 %,240,"12,62 €" 
Universidad de Vigo,"Facultad de Educación y Trabajo Social","Grado en Educación Infantil",Pública / Propio,75,"7,21","8,29",93 %,240,"9,85 €" 
"Universidad de Barcelona",Facultad de Física,"Grado en Ingeniería Electrónica de Telecomunicación",Pública / Propio,40,"7,202","9,4",68 %,240,"39,53 €" 
"Universidad de A Coruña","Facultad de Ciencias de la Educación","Grado en Educación Social",Pública / Propio,80,"7,2","8,14",89 %,240,"9,85 €" 
Universidad de Alcalá,Escuela de Arquitectura,"Grado en Fundamentos de Arquitectura y Urbanismo",Pública / Propio,100,"7,2","8,48",73 %,300,"24,55 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos","Grado en Ingeniería Civil",Pública / Propio,75,"7,2","8,72",72 %,240,"20,27 €" 
Universidad de Murcia,Facultad de Veterinaria,"Grado en Ciencia y Tecnología de los Alimentos",Pública / Propio,60,"7,17","9,41",80 %,240,"16,78 €" 
"Universidad de Valladolid","Escuela de Ingenierías Industriales","Grado en Ingeniería en Organización Industrial",Pública / Propio,50,"7,169","9,56",77 %,240,"21,01 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias de la Comunicación. Campus de Fuenlabrada",Grado en Periodismo,Pública / Propio,145,"7,167","8,64",78 %,240,"21,39 €" 
"Universidad Complutense de Madrid","Facultad de Trabajo Social","Grado en Trabajo Social",Pública / Propio,350,"7,167","8,48",89 %,240,"21,39 €" 
"Universidad Pablo de Olavide","Facultad de Ciencias Sociales","Grado en Trabajo Social",Pública / Propio,160,"7,16","8,42",89 %,240,"12,62 €" 
Universidad de Girona,Facultad de Ciencias,"Grado en Ciencias Ambientales",Pública / Propio,60,"7,158","8,43",80 %,240,"35,77 €" 
Universidad de Sevilla,"Escuela Técnica Superior de Ingeniería","Grado en Ingeniería de la Energía",Pública / Propio,65,"7,154","9,63",55 %,240,"12,62 €" 
Universidad de Cádiz,"Facultad de Ciencias Sociales y de la Comunicación","Grado en Publicidad y Relaciones Públicas",Pública / Propio,80,"7,15","8,63",85 %,240,"12,62 €" 
Universidad de Vigo,"Facultad de Ciencias Jurídicas y del Trabajo",Grado en Derecho,Pública / Propio,70,"7,143","9,2",62 %,240,"9,85 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Físicas","Grado en Ingeniería Electrónica de Comunicaciones",Pública / Propio,50,"7,143","8,61",54 %,240,"24,55 €" 
"Universidad de Granada","Facultad de Filosofía y Letras","Grado en Historia y Ciencias de la Música",Pública / Propio,65,"7,13","9,01",80 %,240,"12,62 €" 
Universidad de Girona,Facultad de Ciencias,Grado en Química,Pública / Propio,60,"7,126","8,88",81 %,240,"35,77 €" 
Universidad de Alcalá,Facultad de Derecho,Grado en Derecho,Pública / Propio,165,"7,125","8,53",71 %,240,"21,39 €" 
Universidad de Cádiz,"Escuela Superior de Ingeniería","Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto",Pública / Propio,50,"7,125","9,37",58 %,240,"12,62 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Móstoles","Grado en Administración y Dirección de Empresas",Pública / Propio,140,"7,122","8,08",70 %,240,"21,39 €" 
"Universitat Politècnica de València","Escuela Politécnica Superior de Alcoy","Grado en Ingeniería Informática",Pública / Propio,65,"7,12","7,8",81 %,240,"20,27 €" 
"Universidad Pablo de Olavide","Centro Universitario San Isidoro",Grado en Fisioterapia,Pública / Adscrito,-,-,"9,57",,240, 
Universidad de Alicante,"Facultad de Ciencias Económicas y Empresariales",Grado en Sociología,Pública / Propio,60,"7,11","7,14",85 %,240,"13,86 €" 
"Universidad de Santiago de Compostela","Facultad de Formación del Profesorado","Grado en Maestro de Educación Infantil",Pública / Propio,82,"7,104","7,85",93 %,240,"9,85 €" 
"Universidad de A Coruña","Facultad de Ciencias de la Educación",Grado en Logopedia,Pública / Propio,55,"7,103","8,23",90 %,240,"13,93 €" 
"Universidad Autónoma de Barcelona",Escuela de Ingeniería,"Grado en Ingeniería Química",Pública / Propio,80,"7,088","9,05",77 %,240,"39,53 €" 
"Universidad de Salamanca",Facultad de Educación,"Grado en Educación Social",Pública / Propio,75,"7,084","8,36",92 %,240,"14,05 €" 
"Universitat de les Illes Balears",Facultad de Educación,"Grado en Educación Infantil",Pública / Propio,100,"7,08","8,31",91 %,240,"16,21 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea",Facultad de Bellas Artes,"Grado en Conservación y Restauración de Bienes Culturales",Pública / Propio,50,"7,08","7,56",79 %,240,"19,19 €" 
"Universidad Autónoma de Barcelona","Facultad de Ciencias Políticas y Sociología",Grado en Sociología,Pública / Propio,110,"7,08","8,9",73 %,240,"25,27 €" 
"Universidad de La Laguna",Facultad de Bellas Artes,Grado en Bellas Artes,Pública / Propio,120,"7,077","9,24",75 %,240,"12,63 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada",Grado en Economía,Pública / Propio,40,"7,073","8,05",67 %,240,"21,39 €" 
"Universidad de Extremadura","Centro Universitario Santa Ana","Grado en Educación Infantil",Pública / Adscrito,75,"7,068",n/d,92 %,240, 
"Universidad de Las Palmas de Gran Canaria","Facultad de Traducción e Interpretación","Grado en Traducción e Interpretación. Inglés- Alemán",Pública / Propio,30,"7,055","9,14",83 %,240,"10,16 €" 
Universidad de Oviedo,"Facultad de Formación del Profesorado y Educación","Grado en Maestro en Educación Primaria",Pública / Propio,222,"7,052","7,96",85 %,240,"12,30 €" 
"Universitat de València (Estudi General)","Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Multimedia",Pública / Propio,50,"7,05","8,83",85 %,240,"20,27 €" 
Universidad de Alcalá,Facultad de Ciencias,"Grado en Ciencias Ambientales",Pública / Propio,100,"7,048","7,91",76 %,240,"26,14 €" 
Universidad de Alcalá,"Facultad de Ciencias Económicas,",Grado en Economía,Pública / Propio,100,"7,036","8,08",73 %,240,"21,39 €" 
"","Empresariales y Turismo",,,,,,,, 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Móstoles",Grado en Economía,Pública / Propio,35,"7,036","8,1",67 %,240,"21,39 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea",Facultad de Letras,Grado en Historia,Pública / Propio,110,"7,034","9,68",81 %,240,"14,08 €" 
"Universidad de Santiago de Compostela","Facultad de Ciencias Económicas y Empresariales","Grado en Administración y Dirección de Empresas",Pública / Propio,200,"7,022","9,31",62 %,240,"9,85 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Administración y Dirección de Empresas",Pública / Propio,395,7,"8,34",70 %,240,"21,39 €" 
Universidad de Lleida,Facultad de Medicina,"Grado en Nutrición Humana y Dietética",Pública / Propio,45,"6,998","8,97",90 %,240,"35,77 €" 
Universidad de Málaga,"Facultad de Ciencias Económicas y Empresariales","Grado en Administración y Dirección de Empresas",Pública / Propio,250,"6,99","9,43",70 %,240,"12,62 €" 
Universidad de Alcalá,"Escuela Politécnica Superior","Grado en Ingeniería de Computadores",Pública / Propio,-,-,"7,74",,240,"24,55 €" 
"Universidad de Extremadura","Facultad de Filosofía y Letras","Grado en Filología Hispánica",Pública / Propio,40,"6,95","9,78",86 %,240,"10,31 €" 
"Universidad Jaume I de Castellón","Escuela Superior de Tecnología y Ciencias Experimentales","Grado en Ingeniería Eléctrica",Pública / Propio,80,"6,95","7,12",51 %,240,"20,27 €" 
"Universidad de Extremadura",Facultad de Ciencias,Grado en Estadística,Pública / Propio,50,"6,941","8,57",39 %,240,"15,70 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación","Grado en Ingeniería Telemática",Pública / Propio,75,"6,932","8,13",52 %,240,"24,55 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,60,"6,93","7,84",76 %,240,"21,39 €" 
"Universidad Pública de Navarra","Facultad de Ciencias Humanas, Sociales y de la Educación","Grado en Trabajo Social",Pública / Propio,110,"6,93","8,26",88 %,240,"16,25 €" 
Universidad de Murcia,Facultad de Letras,"Grado en Estudios Franceses",Pública / Propio,60,"6,919","7,94",70 %,240,"14,38 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería","Grado en Sistemas de Información",Pública / Propio,60,"6,911","7,84",49 %,240,"24,55 €" 
"","de Sistemas Informáticos",,,,,,,, 
"Universidad de Extremadura","Centro Universitario Santa Ana","Grado en Trabajo Social",Pública / Adscrito,75,"6,907","7,35",97 %,240, 
Universidad de Burgos,"Escuela Politécnica Superior","Grado en Ingeniería de la Salud",Pública / Propio,40,"6,902","9,69",,240,"21,01 €" 
"Universidad Miguel Hernández de Elche","Escuela Politécnica Superior de Elche","Grado en Ingeniería Informática en Tecnologías de la Información",Pública / Propio,50,"6,89","7,58",57 %,240,"20,27 €" 
Universidad de Alcalá,"Facultad de Ciencias Económicas, Empresariales y Turismo","Grado en Contabilidad y Finanzas",Pública / Propio,75,"6,881","7,63",67 %,240,"21,39 €" 
Universidad de Girona,"Facultad de Educación y Psicología","Grado en Trabajo Social",Pública / Propio,60,"6,88","8,26",93 %,240,"25,27 €" 
Universidad de Murcia,Facultad de Letras,"Grado en Estudios Ingleses",Pública / Propio,140,"6,868","9,57",77 %,240,"14,38 €" 
"Universidad de Barcelona",Facultad de Bellas Artes,Grado en Bellas Artes,Pública / Propio,300,"6,85","9,45",92 %,240,"35,77 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Fuenlabrada","Grado en Ingeniería en Sistemas Audiovisuales y Multimedia",Pública / Propio,50,"6,846","7,71",57 %,240,"24,55 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología","Grado en Ingeniería Química",Pública / Propio,80,"6,834","9,28",68 %,240,"19,19 €" 
Universidad de Huelva,"Facultad de Educación, Psicología y Ciencias del Deporte","Grado en Educación Primaria",Pública / Propio,240,"6,83","8,58",88 %,240,"12,62 €" 
"Universitat de València (Estudi General)","Facultad de Ciencias Sociales","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,250,"6,82","8,16",80 %,240,"13,86 €" 
"Universidad de A Coruña",Facultad de Ciencias,Grado en Química,Pública / Propio,50,"6,82","8,85",56 %,240,"13,93 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación","Grado en Ingeniería Electrónica de Comunicaciones",Pública / Propio,75,"6,817","7,59",54 %,240,"24,55 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Economía Financiera y Actuarial",Pública / Propio,35,"6,814","7,65",71 %,240,"21,39 €" 
Universidad de Málaga,"Facultad de Comercio y Gestión","Grado en Marketing e Investigación de Mercados",Pública / Propio,300,"6,809","8,69",66 %,240,"12,62 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada",Grado en Filosofía,Pública / Propio,18,"6,8","6,93",74 %,240,"21,39 €" 
"Universidad Rovira i Virgili",Facultad de Enología,Grado en Biotecnología,Pública / Propio,50,"6,798","10,62",90 %,240,"35,77 €" 
Universidad de Vigo,"Facultad de Educación y Trabajo Social","Grado en Educación Social",Pública / Propio,75,"6,77","7,72",90 %,240,"9,85 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Alcorcón","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,75,"6,77","7,65",76 %,240,"21,39 €" 
"Universidad de Barcelona",Facultad de Química,"Grado en Ingeniería Química",Pública / Propio,70,"6,77","9,83",81 %,240,"39,53 €" 
"Universidad de Santiago de Compostela",Facultad de Filología,"Grado en Filología Clásica",Pública / Propio,50,"6,76","9,83",71 %,240,"9,85 €" 
Universidad de Alcalá,"Facultad de Ciencias Económicas, Empresariales y Turismo, Sección Guadalajara","Grado en Administración y Dirección de Empresas",Pública / Propio,75,"6,76","7,6",73 %,240,"21,39 €" 
"Universidad de Santiago de Compostela",Facultad de Derecho,Grado en Derecho,Pública / Propio,170,"6,76","10,49",73 %,240,"9,85 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Móstoles","Grado en Contabilidad y Finanzas",Pública / Propio,65,"6,759","7,72",68 %,240,"21,39 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada",Grado en Turismo,Pública / Propio,70,"6,757","7,41",72 %,240,"21,39 €" 
"Universidad de Zaragoza","Facultad de Ciencias Humanas y de la Educación","Grado en Magisterio en Educación Primaria",Pública / Propio,120,"6,753","8,51",86 %,240,"16,20 €" 
"Universidad de Santiago de Compostela","Escuela Politécnica Superior de Ingeniería",Grado en Robótica,Pública / Propio,50,"6,75","9,81",,240,"13,93 €" 
Universidad de Málaga,"Facultad de Psicología y Logopedia",Grado en Logopedia,Pública / Propio,80,"6,746","7,82",91 %,240,"12,62 €" 
"Universidad de Las Palmas de Gran Canaria","Facultad de Ciencias Jurídicas","Grado en Trabajo Social",Pública / Propio,110,"6,744","8,51",83 %,240,"10,16 €" 
"Universidad Pompeu Fabra","Escuela Superior de Ciencias Sociales y de la Empresa Tecnocampus","Grado en Marketing y Comunidades Digitales",Pública / Adscrito,65,"6,734","8,25",88 %,240, 
"Universidad de La Laguna","Facultad de Economía, Empresa y Turismo",Grado en Turismo,Pública / Propio,150,"6,728","8,12",77 %,240,"10,16 €" 
Universidad de Lleida,"Facultad de Educación, Psicología y Trabajo Social","Grado en Educación Primaria",Pública / Propio,125,"6,72","9,02",87 %,240,"25,27 €" 
"Universitat de València (Estudi General)","Facultad de Geografía e Historia",Grado en Historia,Pública / Propio,220,"6,71","9,35",77 %,240,"13,86 €" 
"Universidad de Las Palmas de Gran Canaria",Facultad de Filología,"Grado en Lenguas Modernas",Pública / Propio,100,"6,7","9,53",84 %,240,"10,16 €" 
"Universitat Politècnica de València","Escuela Politécnica Superior de Alcoy","Grado en Ingeniería Eléctrica",Pública / Propio,50,"6,7","6,77",82 %,240,"20,27 €" 
Universidad de Alcalá,"Escuela Politécnica Superior","Grado en Ingeniería en Tecnologías de Telecomunicación",Pública / Propio,75,"6,692","8,64",52 %,240,"24,55 €" 
Universidad de Burgos,"Facultad de Humanidades y Comunicación","Grado en Comunicación Audiovisual",Pública / Propio,85,"6,691","8,12",90 %,240,"14,05 €" 
"Universidad de Valladolid","Facultad de Educación y Trabajo Social","Grado en Educación Social",Pública / Propio,40,"6,69","7,75",92 %,240,"14,05 €" 
"Universidad Jaume I de Castellón","Escuela Superior de Tecnología y Ciencias Experimentales","Grado en Ingeniería Química",Pública / Propio,60,"6,68","7,39",59 %,240,"20,27 €" 
"Universidad de Zaragoza","Escuela de Ingeniería y Arquitectura","Grado en Estudios en Arquitectura",Pública / Propio,70,"6,679","10,13",71 %,300,"23,39 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Aranjuez","Grado en Fundamentos de la Arquitectura",Pública / Propio,35,"6,666","7,04",65 %,300,"24,55 €" 
"Universidad de Granada","Facultad de Ciencias de la Educación","Grado en Educación Social",Pública / Propio,135,"6,66","8,88",90 %,240,"12,62 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Ciencia Política y Gestión Pública",Pública / Propio,35,"6,658","7,99",70 %,240,"21,39 €" 
Universidad de Oviedo,"Escuela Politécnica de Ingeniería de Gijón","Grado en Ingeniería Química Industrial",Pública / Propio,60,"6,654","8,26",62 %,240,"12,30 €" 
"Universidad de A Coruña","Escuela Politécnica Superior","Grado en Ingeniería en Tecnologías Industriales",Pública / Propio,45,"6,64","8,94",63 %,240,"13,93 €" 
Universidad de Málaga,Facultad de Turismo,Grado en Turismo,Pública / Propio,200,"6,64","7,94",77 %,240,"12,62 €" 
Universidad de Málaga,"Facultad de Ciencias de la Educación",Grado en Pedagogía,Pública / Propio,120,"6,634","7,56",91 %,240,"12,62 €" 
"Universidad de Córdoba",Facultad de Ciencias,Grado en Biología,Pública / Propio,150,"6,626","9,41",78 %,240,"12,62 €" 
"Universidad Rovira i Virgili","Facultad de Ciencias de la Educación y Psicología","Grado en Educación Infantil",Pública / Propio,160,"6,625","7,92",95 %,240,"25,27 €" 
"Universitat de València (Estudi General)","Centro Florida Universitaria","Grado en Administración y Dirección de Empresas",Pública / Adscrito,50,"6,62","7,1",72 %,240, 
Universidad de Girona,"Facultad de Ciencias Económicas y Empresariales",Grado en Economía,Pública / Propio,50,"6,612","8,31",73 %,240,"25,27 €" 
"Universidad de Córdoba","Facultad de Ciencias de la Educación","Grado en Educación Primaria",Pública / Propio,250,"6,607","9,31",90 %,240,"12,62 €" 
"Universidad de Santiago de Compostela",Facultad de Filología,"Grado en Lengua y Literatura Españolas",Pública / Propio,50,"6,6","9,47",77 %,240,"9,85 €" 
Universidad de Girona,Facultad de Derecho,Grado en Derecho,Pública / Propio,155,"6,58","8,4",72 %,240,"25,27 €" 
